dual2              , upper_pstar           , p_star, dual1              , overlap , alpha_pes_over_opt , alpha_pes          , upper_over_opt       , weight_mode, est_opt           , m , dual1_over_opt    , dual2_over_opt    , dist_type, n
 4.807200643354327 ,     2.556479798595818 , 1.0   ,  4.807200643354327 , moderate, 1.0000000000000002 , 2.556479798595818  ,    1.0000000000000002, exp1       , 2.5564797985958174, 15, 1.8803984471126076, 1.8803984471126076, constant , 10
 3.781896449927679 ,     3.11678988386743  , 1.0   ,  3.781896449927679 , moderate, 0.9999999999999994 , 3.11678988386743   ,    0.9999999999999994, exp1       , 3.116789883867432 , 15, 1.2133947397297624, 1.2133947397297624, constant , 10
 6.875184422271968 ,     3.204305005793191 , 1.0   ,  6.875184422271968 , moderate, 1.0000000000000002 , 3.204305005793191  ,    1.0000000000000002, exp1       , 3.20430500579319  , 15, 2.1456086139871355, 2.1456086139871355, constant , 10
 6.07510872651035  ,     4.666673318334202 , 1.0   ,  6.07510872651035  , moderate, 0.9999999999999994 , 4.666673318334202  ,    0.9999999999999994, exp1       , 4.666673318334205 , 15, 1.301807157283273 , 1.301807157283273 , constant , 10
 4.653162814255891 ,     3.0802749885156047, 1.0   ,  4.653162814255891 , moderate, 0.9999999999999996 , 3.0802749885156047 ,    0.9999999999999996, exp1       , 3.080274988515606 , 15, 1.510632275236655 , 1.510632275236655 , constant , 10
 4.4905523795642335,     3.802149109776262 , 1.0   ,  4.4905523795642335, moderate, 1.0                , 3.802149109776262  ,    1.0               , exp1       , 3.802149109776262 , 15, 1.1810563578419155, 1.1810563578419155, constant , 10
 2.6105436638847963,     2.189420871997166 , 1.0   ,  2.6105436638847963, moderate, 1.0000000000000002 , 2.189420871997166  ,    1.0000000000000002, exp1       , 2.1894208719971657, 15, 1.1923443762109964, 1.1923443762109964, constant , 10
 5.4735169526638865,     4.1400280856339995, 1.0   ,  5.4735169526638865, moderate, 1.0000000000000002 , 4.1400280856339995 ,    1.0000000000000002, exp1       , 4.140028085633999 , 15, 1.3220965750587848, 1.3220965750587848, constant , 10
 4.547855066224473 ,     2.7052950656999886, 1.0   ,  4.547855066224473 , moderate, 1.0000000000000009 , 2.7052950656999886 ,    1.0000000000000009, exp1       , 2.705295065699986 , 15, 1.6810939124112627, 1.6810939124112627, constant , 10
 4.277813038150707 ,     2.5848850752485175, 1.0   ,  4.277813038150707 , moderate, 1.0000000000000004 , 2.5848850752485175 ,    1.0000000000000004, exp1       , 2.5848850752485166, 15, 1.654933551635532 , 1.654933551635532 , constant , 10
 4.209644238007552 ,     3.3796637025635965, 1.0   ,  4.209644238007552 , moderate, 1.0000000000000004 , 3.3796637025635965 ,    1.0000000000000004, exp1       , 3.3796637025635947, 15, 1.245580805810468 , 1.245580805810468 , constant , 10
 8.28117153815362  ,     7.8349815811514745, 1.0   ,  8.28117153815362  , moderate, 0.9999999999999997 , 7.8349815811514745 ,    0.9999999999999997, exp1       , 7.834981581151477 , 15, 1.0569484372593212, 1.0569484372593212, constant , 10
 6.022092608267014 ,     3.4032111073183535, 1.0   ,  6.022092608267014 , moderate, 0.9999999999999993 , 3.4032111073183535 ,    0.9999999999999993, exp1       , 3.4032111073183557, 15, 1.769532485162894 , 1.769532485162894 , constant , 10
 4.066745406193033 ,     2.7154247949556716, 1.0   ,  4.066745406193033 , moderate, 0.9999999999999997 , 2.7154247949556716 ,    0.9999999999999997, exp1       , 2.7154247949556725, 15, 1.4976461192177557, 1.4976461192177557, constant , 10
 2.056979964385157 ,     1.4106992170073953, 1.0   ,  2.056979964385157 , moderate, 1.0000000000000002 , 1.4106992170073953 ,    1.0000000000000002, exp1       , 1.4106992170073949, 15, 1.458127954978779 , 1.458127954978779 , constant , 10
 5.489072064431322 ,     4.322238272345705 , 1.0   ,  5.489072064431322 , moderate, 1.0000000000000004 , 4.322238272345705  ,    1.0000000000000004, exp1       , 4.322238272345703 , 15, 1.2699605432563004, 1.2699605432563004, constant , 10
 4.8769769673321175,     4.361850975785997 , 1.0   ,  4.8769769673321175, moderate, 1.0000000000000002 , 4.361850975785997  ,    1.0000000000000002, exp1       , 4.3618509757859965, 15, 1.11809802636673  , 1.11809802636673  , constant , 10
 3.1856159571064366,     1.7008963620207163, 1.0   ,  3.1856159571064366, moderate, 1.0                , 1.7008963620207163 ,    1.0               , exp1       , 1.7008963620207163, 15, 1.8729042099436493, 1.8729042099436493, constant , 10
 5.063539954849725 ,     3.356069957110326 , 1.0   ,  5.063539954849725 , moderate, 1.0                , 3.356069957110326  ,    1.0               , exp1       , 3.356069957110326 , 15, 1.5087706810526622, 1.5087706810526622, constant , 10
 4.939232568798518 ,     4.656147626277491 , 1.0   ,  4.939232568798518 , moderate, 1.0000000000000004 , 4.656147626277491  ,    1.0000000000000004, exp1       , 4.656147626277489 , 15, 1.0607981029045144, 1.0607981029045144, constant , 10
 3.9226074022523614,    14.388489208633093 , 0.0695,  3.8362746244856294, heavy   , 0.3968253968253968 , 1.0                ,    5.709717939933767 , uniform    , 2.52              , 15, 1.52233120019271  , 1.5565902389890323, uniform  , 10
 3.7468679224425716,    10.869565217391305 , 0.092 ,  3.711040218245592 , heavy   , 0.468384074941452  , 1.0                ,    5.09113124936361  , uniform    , 2.135             , 15, 1.7381921396934858, 1.7549732657810642, uniform  , 10
 3.2196943269954956,    14.285714285714285 , 0.07  ,  3.2501557562674837, heavy   , 0.4962779156327543 , 1.0                ,    7.089684509039347 , uniform    , 2.015             , 15, 1.612980524202225 , 1.5978631895759283, uniform  , 10
 2.7751238051312646,    13.245033112582782 , 0.0755,  2.873748543512196 , heavy   , 0.5263157894736842 , 1.0                ,    6.971070059254096 , uniform    , 1.9               , 15, 1.5124992334274716, 1.4605914763848762, uniform  , 10
 3.5575941189491442,    13.986013986013987 , 0.0715,  3.507103558107572 , heavy   , 0.4694835680751174 , 1.0                ,    6.566203749302342 , uniform    , 2.13              , 15, 1.6465274920692827, 1.6702319807272978, uniform  , 10
 3.20758556996024  ,    13.88888888888889  , 0.072 ,  3.2059267506076834, heavy   , 0.60790273556231   , 1.0                ,    8.443093549476528 , uniform    , 1.645             , 15, 1.9488916417067983, 1.9499000425290212, uniform  , 10
 3.739810147000466 ,    11.976047904191615 , 0.0835,  3.7156162320136152, heavy   , 0.4166666666666667 , 1.0                ,    4.99001996007984  , uniform    , 2.4               , 15, 1.548173430005673 , 1.5582542279168607, uniform  , 10
 3.856190942021034 ,    23.668639053254438 , 0.0845,  3.993861475385043 , heavy   , 0.8968609865470852 , 2.0                ,   10.613739485764322 , uniform    , 2.23              , 15, 1.7909692714731136, 1.7292336062874591, uniform  , 10
 3.4736649057007374,    14.285714285714285 , 0.07  ,  3.653702888975885 , heavy   , 0.468384074941452  , 1.0                ,    6.691201070592172 , uniform    , 2.135             , 15, 1.7113362477638807, 1.6270093235132261, uniform  , 10
 3.068969927358876 ,    15.15151515151515  , 0.066 ,  2.6173862271309396, heavy   , 0.56657223796034   , 1.0                ,    8.584427847883939 , uniform    , 1.765             , 15, 1.4829383723121472, 1.7387931599767004, uniform  , 10
 4.45294764946434  ,    28.776978417266186 , 0.0695,  4.39779470031602  , heavy   , 0.68259385665529   , 2.0                ,    9.821494340363886 , uniform    , 2.93              , 15, 1.5009538226334538, 1.5197773547659863, uniform  , 10
 3.3379590105514536,    13.986013986013987 , 0.0715,  3.447507962987297 , heavy   , 0.4716981132075471 , 1.0                ,    6.597176408497163 , uniform    , 2.12              , 15, 1.6261830014091023, 1.5745089672412516, uniform  , 10
 3.623864956129654 ,    13.88888888888889  , 0.072 ,  3.458176906539399 , heavy   , 0.47846889952153115, 1.0                ,    6.645401382243488 , uniform    , 2.09              , 15, 1.654630098822679 , 1.733906677573997 , uniform  , 10
 3.2653466644528306,    15.384615384615383 , 0.065 ,  3.216201103847455 , heavy   , 0.554016620498615  , 1.0                ,    8.523332623055614 , uniform    , 1.805             , 15, 1.781828866397482 , 1.8090563237965822, uniform  , 10
 4.506718485516864 ,    28.98550724637681  , 0.069 ,  4.290138455413223 , heavy   , 0.667779632721202  , 2.0                ,    9.677965691611622 , uniform    , 2.995             , 15, 1.4324335410394735, 1.5047474075181517, uniform  , 10
 3.2779999542930534,    13.793103448275863 , 0.0725,  3.264973946064381 , heavy   , 0.5                , 1.0                ,    6.8965517241379315, uniform    , 2.0               , 15, 1.6324869730321905, 1.6389999771465267, uniform  , 10
 2.4749393018470593,    11.049723756906078 , 0.0905,  2.5237673278180215, heavy   , 1.0                , 1.0                ,   11.049723756906078 , uniform    , 1.0               , 15, 2.5237673278180215, 2.4749393018470593, uniform  , 10
 3.7777713532048223,    13.793103448275863 , 0.0725,  3.7458531172672513, heavy   , 0.42372881355932207, 1.0                ,    5.844535359438925 , uniform    , 2.36              , 15, 1.5872258971471405, 1.6007505733918739, uniform  , 10
 2.7102802148672986,    14.492753623188404 , 0.069 ,  2.7274065745704004, heavy   , 0.6872852233676976 , 1.0                ,    9.960655411126051 , uniform    , 1.455             , 15, 1.8745062368181444, 1.8627355428641228, uniform  , 10
 4.135563900469604 ,    24.84472049689441  , 0.0805,  4.0528404815846235, heavy   , 0.7246376811594204 , 2.0                ,    9.001710324961744 , uniform    , 2.76              , 15, 1.468420464342255 , 1.4983927175614509, uniform  , 10
 4.075474386819074 ,  2000.0               , 0.0005,  5.582790481539951 , heavy   , 1.0                , 1.0                , 2000.0               , uniform    , 1.0               , 15, 5.582790481539951 , 4.075474386819074 , normal   , 10
 3.431070133548181 ,  2000.0               , 0.0005,  4.113189179074548 , heavy   , 1.0                , 1.0                , 2000.0               , uniform    , 1.0               , 15, 4.113189179074548 , 3.431070133548181 , normal   , 10
 3.495407459236169 ,  2000.0               , 0.0005,  4.910420929430327 , heavy   , 1.0                , 1.0                , 2000.0               , uniform    , 1.0               , 15, 4.910420929430327 , 3.495407459236169 , normal   , 10
 2.9192151920319165,  1000.0               , 0.001 ,  3.150929524209642 , heavy   , 1.0                , 1.0                , 1000.0               , uniform    , 1.0               , 15, 3.150929524209642 , 2.9192151920319165, normal   , 10
 3.1002959360945486,  2000.0               , 0.0005,  3.178088585577751 , heavy   , 1.0                , 1.0                , 2000.0               , uniform    , 1.0               , 15, 3.178088585577751 , 3.1002959360945486, normal   , 10
 3.3517667900709993,  1000.0               , 0.001 ,  3.9833185272924694, heavy   , 1.0                , 1.0                , 1000.0               , uniform    , 1.0               , 15, 3.9833185272924694, 3.3517667900709993, normal   , 10
 2.3980448170658843,  1000.0               , 0.001 ,  3.1840373593716835, heavy   , 1.0                , 1.0                , 1000.0               , uniform    , 1.0               , 15, 3.1840373593716835, 2.3980448170658843, normal   , 10
 3.1687869443088084,  2000.0               , 0.0005,  3.940236252509263 , heavy   , 1.0                , 1.0                , 2000.0               , uniform    , 1.0               , 15, 3.940236252509263 , 3.1687869443088084, normal   , 10
 4.182864391722631 ,  2000.0               , 0.0005,  4.960983220436495 , heavy   , 1.0                , 1.0                , 2000.0               , uniform    , 1.0               , 15, 4.960983220436495 , 4.182864391722631 , normal   , 10
 3.6666139266451796,  2000.0               , 0.0005,  4.953177483368695 , heavy   , 1.0                , 1.0                , 2000.0               , uniform    , 1.0               , 15, 4.953177483368695 , 3.6666139266451796, normal   , 10
 5.145283014928658 ,  2000.0               , 0.0005,  6.141986528861408 , heavy   , 1.0                , 1.0                , 2000.0               , uniform    , 1.0               , 15, 6.141986528861408 , 5.145283014928658 , normal   , 10
 2.893262830484143 ,  2000.0               , 0.0005,  3.186404673393522 , heavy   , 1.0                , 1.0                , 2000.0               , uniform    , 1.0               , 15, 3.186404673393522 , 2.893262830484143 , normal   , 10
 3.32032776170811  ,  2000.0               , 0.0005,  3.989008956887491 , heavy   , 1.0                , 1.0                , 2000.0               , uniform    , 1.0               , 15, 3.989008956887491 , 3.32032776170811  , normal   , 10
 2.8992920717330453,  2000.0               , 0.0005,  3.2006447940913345, heavy   , 1.0                , 1.0                , 2000.0               , uniform    , 1.0               , 15, 3.2006447940913345, 2.8992920717330453, normal   , 10
 2.9656928144466055,  2000.0               , 0.0005,  3.2857473796636207, heavy   , 1.0                , 1.0                , 2000.0               , uniform    , 1.0               , 15, 3.2857473796636207, 2.9656928144466055, normal   , 10
 3.623084377921535 ,  2000.0               , 0.0005,  4.710118407591941 , heavy   , 1.0                , 1.0                , 2000.0               , uniform    , 1.0               , 15, 4.710118407591941 , 3.623084377921535 , normal   , 10
 3.6064358718331446,  2000.0               , 0.0005,  4.274703853606946 , heavy   , 1.0                , 1.0                , 2000.0               , uniform    , 1.0               , 15, 4.274703853606946 , 3.6064358718331446, normal   , 10
 3.758117732470931 ,  2000.0               , 0.0005,  4.115235219304254 , heavy   , 1.0                , 1.0                , 2000.0               , uniform    , 1.0               , 15, 4.115235219304254 , 3.758117732470931 , normal   , 10
 4.155040970186956 ,  2000.0               , 0.0005,  5.025360662865484 , heavy   , 1.0                , 1.0                , 2000.0               , uniform    , 1.0               , 15, 5.025360662865484 , 4.155040970186956 , normal   , 10
 4.154037665653459 ,  2000.0               , 0.0005,  5.099890102855282 , heavy   , 1.0                , 1.0                , 2000.0               , uniform    , 1.0               , 15, 5.099890102855282 , 4.154037665653459 , normal   , 10
 1.5017316017316016,     1.0               , 1.0   ,  1.5017316017316016, heavy   , 1.0                , 1.0                ,    1.0               , uniform    , 1.0               , 15, 1.5017316017316016, 1.5017316017316016, constant , 10
 1.8818181818181818,     1.0               , 1.0   ,  1.8818181818181818, heavy   , 1.0                , 1.0                ,    1.0               , uniform    , 1.0               , 15, 1.8818181818181818, 1.8818181818181818, constant , 10
 1.5786546786546785,     1.0               , 1.0   ,  1.5786546786546785, heavy   , 1.0                , 1.0                ,    1.0               , uniform    , 1.0               , 15, 1.5786546786546785, 1.5786546786546785, constant , 10
 1.798701298701298 ,     1.0               , 1.0   ,  1.798701298701298 , heavy   , 1.0                , 1.0                ,    1.0               , uniform    , 1.0               , 15, 1.798701298701298 , 1.798701298701298 , constant , 10
 1.9678932178932174,     1.0               , 1.0   ,  1.9678932178932174, heavy   , 1.0                , 1.0                ,    1.0               , uniform    , 1.0               , 15, 1.9678932178932174, 1.9678932178932174, constant , 10
 2.07051282051282  ,     1.0               , 1.0   ,  2.07051282051282  , heavy   , 1.0                , 1.0                ,    1.0               , uniform    , 1.0               , 15, 2.07051282051282  , 2.07051282051282  , constant , 10
 2.454545454545454 ,     2.0               , 1.0   ,  2.454545454545454 , heavy   , 1.0                , 2.0                ,    1.0               , uniform    , 2.0               , 15, 1.227272727272727 , 1.227272727272727 , constant , 10
 1.7712121212121206,     1.0               , 1.0   ,  1.7712121212121206, heavy   , 1.0                , 1.0                ,    1.0               , uniform    , 1.0               , 15, 1.7712121212121206, 1.7712121212121206, constant , 10
 2.508838383838383 ,     2.0               , 1.0   ,  2.508838383838383 , heavy   , 1.0                , 2.0                ,    1.0               , uniform    , 2.0               , 15, 1.2544191919191916, 1.2544191919191916, constant , 10
 2.7611832611832607,     2.0               , 1.0   ,  2.7611832611832607, heavy   , 1.0                , 2.0                ,    1.0               , uniform    , 2.0               , 15, 1.3805916305916304, 1.3805916305916304, constant , 10
